slug,title,date,description,stage,location,official_url
biologie-gimnaziu-judeteana-2026,Olimpiada De Biologie Pentru Gimnaziu „GEORGE EMIL PALADE”,2026-03-21T00:00:00.000Z,Pentru clasele V-VIII,Judeteana,,https://ssbcluj.ro/gep-2025/
biologie-gimnaziu-nationala-2026,Olimpiada De Biologie Pentru Gimnaziu „GEORGE EMIL PALADE”,2026-05-23T00:00:00.000Z,Pentru clasele V-VIII,Nationala,Online,https://ssbcluj.ro/gep-2025/
biologie-internat-2026,Olimpiada De Biologie,2026-07-12T00:00:00.000Z,Pentru clasele IX-XII,Internationala,"Lituania, Vilnius",https://www.ibo-info.org/en/
biologie-internat-lot-prega-2026,Selectionare si Pregatire Lot Olimpiada De Biologie,2026-05-01T00:00:00.000Z,Pentru clasele IX-XII (NOTA: In perioada mai-iunie se regasesc atat pregatirea pentru lotul largit cat si pentru cel restrans.),Internationala,CEX Cluj,https://www.ibo-info.org/en/
biologie-judeteana-2026,Olimpiada De Biologie,2026-03-06T00:00:00.000Z,Pentru clasele IX-XII,Judeteana,,https://ssbcluj.ro/olimpiada-nationala-de-biologie/
biologie-nationala-2026,Olimpiada De Biologie,2026-04-20T00:00:00.000Z,Pentru clasele IX-XII,Nationala,"Drobeta Turnu-Severin, jud. Mehedinți",https://ssbcluj.ro/olimpiada-nationala-de-biologie/
stiinte-juniori-internat-2026,Olimpiada De Stiinte Pentru Juniori,2026-12-01T00:00:00.000Z,"Pentru clasele VII-X (NOTA: La momentul scrieri, nu sa stabilit nici locatia, nici data exacta a desfasurarii olimpiadei.)",Internationala,N/A,https://www.posn.or.th/en/projects/academic-olympiad/ijso/about-international-junior-science-olympiad-ijso/
stiinte-juniori-internat-lot-largit-2026,Selectionare si Pregatire Lot Largit Olimpiada De Stiinte Pentru Juniori,2026-08-01T00:00:00.000Z,"Pentru clasele VII-X (NOTA: La momentul scrieri, nu sa stabilit data exacta a desfasurarii olimpiadei. August-Septembrie este estimatul dat de Minister)",Internationala,CEX Cluj,https://iesolympiad.com/
stiinte-juniori-internat-lot-restrans-2026,Selectionare si Pregatire Lot Restrans Olimpiada De Stiinte Pentru Juniori,2026-09-01T00:00:00.000Z,"Pentru clasele VII-X (NOTA: La momentul scrieri, nu sa stabilit data exacta a desfasurarii olimpiadei. Septembrie-Noiembrie este estimatul dat de Minister)",Internationala,CEX Cluj,https://iesolympiad.com/
stiinte-juniori-judeteana-2026,Olimpiada De Stiinte Pentru Juniori,2026-05-11T00:00:00.000Z,Pentru clasele VII-X,Judeteana,,https://www.lahovari.com/anunturi_evenimente/olimpiada-nationala-de-stiinte-pentru-juniori/
stiinte-juniori-nationala-2026,Olimpiada De Stiinte Pentru Juniori,2026-08-24T00:00:00.000Z,Pentru clasele VII-X,Nationala,"Vaslui, jud. Vaslui",https://www.lahovari.com/anunturi_evenimente/olimpiada-nationala-de-stiinte-pentru-juniori/
stiintele-pamantului-internat-2026,"Olimpiada Interdisciplinara ""STIINTELE PAMANTULUI""",2026-08-01T00:00:00.000Z,"Pentru clasele IX-XII (NOTA: La momentul scrieri, nu sa stabilit data exacta a desfasurarii olimpiadei. August este estimatul dat de Minister)",Internationala,"Italia, Torino",https://iesolympiad.com/
stiintele-pamantului-judeteana-2026,"Olimpiada Interdisciplinara ""STIINTELE PAMANTULUI""",2026-03-11T00:00:00.000Z,Pentru clasele IX-XII,Judeteana,,https://cnlazar.ro/index.php/olimpiada-interdisciplinara-stiintele-pamantului-2025
stiintele-pamantului-lot-retrans-2026,"Pregatire Lot Restrans Olimpiada Interdisciplinara ""STIINTELE PAMANTULUI""",2026-07-01T00:00:00.000Z,"Pentru clasele IX-XII (NOTA: La momentul scrieri, nu sa stabilit data exacta a desfasurarii olimpiadei. Iunie-Iulie este estimatul dat de Minister)",Internationala,București,https://iesolympiad.com/
stiintele-pamantului-nationala-2026,"Olimpiada Interdisciplinara ""STIINTELE PAMANTULUI""",2026-05-14T00:00:00.000Z,Pentru clasele IX-XII,Nationala,"Timișoara, jud. Timiș",https://cnlazar.ro/index.php/olimpiada-interdisciplinara-stiintele-pamantului-2025
