slug,group_slug,title,pdf,date,tags
Subiecte_+_Barem_Simulare_BAC_2026_BUZAU_Anatomie.pdf,SimulariAnato2026,Simulare Anatomie 2026 Buzau,/learning/Subiecte_Simulare_2026_ANATOMIE/Subiecte_+_Barem_Simulare_BAC_2026_BUZAU_Anatomie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Anatomie"",""grade"":""12"",""type"":""Simulare"",""city"":""Buzău""}"
Subiecte_+_Barem_Simulare_BAC_2026_CLUJ_Anatomie.pdf,SimulariAnato2026,Simulare Anatomie 2026 Cluj,learning/Subiecte_Simulare_2026_ANATOMIE/Subiecte_+_Barem_Simulare_BAC_2026_CLUJ_Anatomie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Anatomie"",""grade"":""12"",""type"":""Simulare"",""city"":""Cluj""}"
Subiecte_+_Barem_Simulare_BAC_2026_IASI_Anatomie.pdf,SimulariAnato2026,Simulare Anatomie 2026 Iași,/learning/Subiecte_Simulare_2026_ANATOMIE/Subiecte_+_Barem_Simulare_BAC_2026_IASI_Anatomie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Anatomie"",""grade"":""12"",""type"":""Simulare"",""city"":""Iași""}"
Subiecte_+_Barem_Simulare_BAC_2026_SUCEAVA_Anatomie.pdf,SimulariAnato2026,Simulare Anatomie 2026 Suceava,/learning/Subiecte_Simulare_2026_ANATOMIE/Subiecte_+_Barem_Simulare_BAC_2026_SUCEAVA_Anatomie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Anatomie"",""grade"":""12"",""type"":""Simulare"",""city"":""Suceava""}"
Subiecte_+_Barem_Simulare_BAC_2026_VASLUI_Anatomie.pdf,SimulariAnato2026,Simulare Anatomie 2026 Vaslui,/learning/Subiecte_Simulare_2026_ANATOMIE/Subiecte_+_Barem_Simulare_BAC_2026_VASLUI_Anatomie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Anatomie"",""grade"":""12"",""type"":""Simulare"",""city"":""Vaslui""}"
Subiecte_+_Barem_Simulare_BAC_2026_BUZAU_Biologie.pdf,SimulariBio2026,Simulare Biologie 2026 Buzau,/learning/Subiecte_Simulare_2026_BIOLOGIE/Subiecte_+_Barem_Simulare_BAC_2026_BUZAU_Biologie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Biologie"",""grade"":""12"",""type"":""Simulare"",""city"":""Buzău""}"
Subiecte_+_Barem_Simulare_BAC_2026_CLUJ_Biologie.pdf,SimulariBio2026,Simulare Biologie 2026 Cluj,/learning/Subiecte_Simulare_2026_BIOLOGIE/Subiecte_+_Barem_Simulare_BAC_2026_CLUJ_Biologie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Biologie"",""grade"":""12"",""type"":""Simulare"",""city"":""Cluj""}"
Subiecte_+_Barem_Simulare_BAC_2026_IASI_Biologie.pdf,SimulariBio2026,Simulare Biologie 2026 Iași,/learning/Subiecte_Simulare_2026_BIOLOGIE/Subiecte_+_Barem_Simulare_BAC_2026_IASI_Biologie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Biologie"",""grade"":""12"",""type"":""Simulare"",""city"":""Iași""}"
Subiecte_+_Barem_Simulare_BAC_2026_SUCEAVA_Biologie.pdf,SimulariBio2026,Simulare Biologie 2026 Suceava,/learning/Subiecte_Simulare_2026_BIOLOGIE/Subiecte_+_Barem_Simulare_BAC_2026_SUCEAVA_Biologie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Biologie"",""grade"":""12"",""type"":""Simulare"",""city"":""Suceava""}"
Subiecte_+_Barem_Simulare_BAC_2026_VASLUI_Biologie.pdf,SimulariBio2026,Simulare Biologie 2026 Vaslui,/learning/Subiecte_Simulare_2026_BIOLOGIE/Subiecte_+_Barem_Simulare_BAC_2026_VASLUI_Biologie.pdf,2026-01-15T00:00:00.000Z,"{""year"":""2026"",""subject"":""Biologie"",""grade"":""12"",""type"":""Simulare"",""city"":""Vaslui""}"
